#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
383162:9899,07/14/24 03:43:21,1531,1528,0.707565902,0.669822511
383163:9899,07/14/24 13:49:37,514,514,0.164620921,0.158275728
383173:9900,07/14/24 19:48:15,929,929,0.440114633,0.412650456
383174:9900,07/15/24 01:54:31,1022,1021,0.392341787,0.368732213
383175:9900,07/15/24 08:35:34,158,158,0.042292331,0.039568584
383247:9904,07/15/24 23:52:58,108,108,0.041872151,0.039445771
383254:9905,07/16/24 03:16:42,1228,1228,0.586382137,0.545002515
383255:9905,07/16/24 11:15:11,915,915,0.321410769,0.308294311
383275:9906,07/16/24 20:29:35,177,177,0.076443056,0.066804348
383276:9906,07/16/24 21:41:35,292,292,0.142594866,0.132986862
383277:9906,07/16/24 23:40:05,676,676,0.329269523,0.308858990
383323:9910,07/17/24 13:35:57,1259,1259,0.600356179,0.559030038
383326:9910,07/17/24 22:14:32,516,516,0.182710473,0.171528612
383363:9911,07/18/24 09:52:44,738,738,0.345484470,0.322758991
383365:9911,07/18/24 14:48:58,49,49,0.023916431,0.021406435
383366:9911,07/18/24 15:11:12,27,27,0.013257732,0.011436310
383367:9911,07/18/24 15:24:35,176,176,0.085923473,0.079772130
383368:9911,07/18/24 17:16:22,1037,1037,0.364001955,0.350574572
383377:9912,07/19/24 03:48:39,279,279,0.125675741,0.117506218
383417:9917,07/20/24 01:05:27,779,779,0.367633872,0.341281296
383418:9917,07/20/24 06:11:07,917,917,0.389630378,0.368562946
383447:9920,07/20/24 20:44:24,474,474,0.219744975,0.204785081
383448:9920,07/20/24 23:49:52,465,465,0.226771260,0.208832827
383449:9920,07/21/24 02:51:34,1248,1248,0.451933516,0.433105508
383467:9921,07/21/24 13:30:14,177,177,0.074930827,0.068788355
383468:9921,07/21/24 14:41:34,2149,2149,0.853280978,0.809333457
383485:9923,07/22/24 08:25:14,77,77,0.026079635,0.023985753
383486:9923,07/22/24 08:56:37,116,116,0.055877506,0.046273898
383487:9923,07/22/24 09:47:12,2043,2043,0.851810232,0.801120503
383496:9925,07/23/24 02:52:20,181,181,0.079273059,0.072808188
383512:9926,07/23/24 06:46:08,1755,1755,0.795734316,0.743506722
383514:9926,07/23/24 19:13:08,139,139,0.039087412,0.037844904
383536:9927,07/24/24 02:13:47,164,164,0.066722496,0.061644340
383537:9927,07/24/24 03:19:59,76,76,0.037037315,0.033085993
383541:9927,07/24/24 04:01:38,302,302,0.147092100,0.137246353
383629:9931,07/25/24 00:40:18,190,190,0.080965548,0.076448775
383630:9931,07/25/24 01:56:21,295,295,0.139621204,0.131771990
383631:9931,07/25/24 03:56:49,1675,1675,0.683067240,0.642952680
383647:9932,07/25/24 17:03:23,107,107,0.041292325,0.037929493
383648:9932,07/25/24 17:46:40,232,232,0.113112105,0.103245320
383649:9932,07/25/24 19:18:20,342,342,0.166879099,0.153987763
383650:9932,07/25/24 21:33:00,41,41,0.019996955,0.017422947
383661:9934,07/26/24 01:47:35,101,101,0.037887784,0.034630992
383662:9934,07/26/24 02:30:01,181,181,0.088125740,0.080421489
383669:9935,07/26/24 05:40:30,639,639,0.301825446,0.280457448
383687:9936,07/26/24 12:06:39,476,476,0.222398744,0.205912291
383692:9937,07/26/24 17:20:31,859,859,0.407413694,0.372048659
383693:9937,07/26/24 22:56:12,155,155,0.075363801,0.068250770
383694:9937,07/27/24 00:04:45,30,30,0.014021043,0.008790273
383695:9937,07/27/24 00:19:44,740,740,0.284000544,0.266868457
383712:9939,07/27/24 08:34:14,1552,1552,0.717822194,0.667435894
383724:9939,07/27/24 19:49:20,192,192,0.061954641,0.059779227
383740:9941,07/28/24 01:30:34,676,676,0.314920583,0.289706894
383741:9941,07/28/24 05:57:18,574,574,0.276015713,0.256253350
383756:9942,07/28/24 12:25:37,1365,1365,0.638851484,0.593227851
383758:9942,07/28/24 21:50:52,25,25,0.009579673,0.008984129
383767:9943,07/29/24 00:29:10,1603,1603,0.731624341,0.674992590
383779:9943,07/29/24 10:56:46,173,173,0.058137853,0.055796996
383811:9945,07/29/24 16:52:12,41,41,0.013117829,0.011277490
383812:9945,07/29/24 17:11:17,338,338,0.164879330,0.148482458
383813:9945,07/29/24 19:26:00,104,104,0.050648666,0.046168967
383814:9945,07/29/24 20:12:38,1244,1244,0.552183287,0.516293948
383830:9947,07/30/24 08:01:55,124,124,0.052653245,0.046428710
